,,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
 華興,s6164,6164 華興,10.72,14.55,3.67,3.24,3.59,4.3,2.99,7.39,7.55,6.95,3.63,9.06,8.84,8.71,7.34,1.91,1.72,0.39
 捷泰,s6165,6165 捷泰,-25.58,-20.26,-26.9,-17.07,-18.11,-53.43,-72.44,-52.51,-58,-16.77,-26.91,-13.42,-12.22,-12.77,-18.55,-16.13,-13.79,-17.6
 凌華,s6166,6166 凌華,2.97,3.39,2.76,6.71,7.41,7.75,8.71,7.33,7.74,7.88,6.51,6.42,6.89,6.85,3.35,3.46,3.76,3.85
 久正,s6167,6167 久正,6.47,7.01,7.37,3.21,2.58,1.71,0.7,8.37,1.7,1.31,-2.1,-0.8,-1.4,-0.3,-2.39,5.31,6.15,5.99
 宏齊,s6168,6168 宏齊,-9.38,-16.41,-11.61,-0.9,-0.12,-8.42,-4.43,6.94,7.34,6.95,4.34,1.31,-2.49,-6.83,-5.59,-13.94,-5.98,-7.34
 昱泉,s6169,6169 昱泉,-76.48,-58.04,-45.49,-75.85,-73.04,-75.22,-49.02,-40.76,-31.81,-24.64,-22.22,-20.03,-16.83,-21.36,-24.9,-25.82,-28.77,-26.81
 統振,s6170,6170 統振,-2.7,-3.51,-1.75,-0.01,-0.17,-0.45,1.15,0.66,0.74,0.77,0.39,-4.17,-3.57,-3.64,-2.18,-1.49,0.38,0.51
 亞銳士,s6171,6171 亞銳士,13.41,15.65,20.54,24.25,9.6,16.54,"-11,518.60","-9,031.58","-15,122.54","-30,460.87","-40,581.82",1.59,-9.49,-5.1,"-3,068.42",-14.1,-12.78,-10.61
 互億,s6172,6172 互億,-1.71,-1.34,-2.72,2.65,0.49,-3.33,-2.21,13.3,0.52,0.43,1.1,3.39,4.46,7.88,9.32,-54.49,-57.44,-116.95
 信昌電,s6173,6173 信昌電,10.07,10.63,10.95,5.74,6.68,6.11,7.17,5.53,4.57,2.83,1.98,0.95,0.99,0.47,-6.75,-2.2,-2.58,-4.03
 安碁,s6174,6174 安碁,8.68,9.13,6,9.57,10.65,10.3,8.17,8.91,9.26,9.29,8.49,14.91,15.78,16.91,21.64,3.05,3.13,2.4
 立敦,s6175,6175 立敦,2.69,1.57,2.59,2.48,3.42,1.65,0.41,1.59,0.86,-2.48,-6.03,-1.25,-3.85,1.03,2.89,2.46,0.84,-0.03
 瑞儀,s6176,6176 瑞儀,6.48,4.67,3.67,5.93,4.99,2.19,4.19,7.25,6.44,6.12,6.25,7.41,6.88,6.76,7.45,7.14,7.38,7.58
 達麗,s6177,6177 達麗,15.16,17.06,15.14,15.44,11.49,12.67,14.54,31.66,35.5,35.94,-49,3.99,6.08,9.22,22.33,27.37,32.06,35.17
 亞通,s6179,6179 亞通,6.82,7.03,3.97,10.78,8.39,7.64,4.66,7.17,3.32,5.34,12.16,-124.22,-109.78,-92.23,-194.31,-38.09,-34.27,-53.63
 橘子,s6180,6180 橘子,-6.65,-2.23,-0.28,3.16,4.62,6.96,12.58,1.15,1.18,0.95,1.78,0.68,1.99,2.61,3.89,-4.88,-3.11,0.09
 合晶,s6182,6182 合晶,-5.2,-5.42,-5.48,-0.56,1.5,1.91,1.65,-14.25,-1.89,-3.73,-7.17,-11.61,-6.02,-7.87,-18.13,-18.45,-14.82,-16.45
 關貿,s6183,6183 關貿,17.74,17.47,16.5,14.05,20.62,20.51,18.85,14.6,19.15,19.49,13.81,12.5,15.21,13.82,7.68,12.71,14.07,13.06
 大豐電,s6184,6184 大豐電,-18.86,-22.75,-26.93,16.16,25.06,30.94,24.27,37.42,35.03,30.84,28.17,34.01,32.58,34.58,35.07,44.05,46.43,50.18
 幃翔,s6185,6185 幃翔,20.26,19.3,19.93,20.83,20.6,19.25,20.23,20.51,20.85,20.85,20.95,18.23,17.4,15.67,16.8,10.25,8.27,5.49
 新潤,s6186,6186 新潤,14.7,17.73,21.41,24.86,16.44,21.25,23.21,19.17,15.06,19.08,21.51,20.91,,,,17.1,"-1,980.16","-1,361.26"
 萬潤,s6187,6187 萬潤,17.93,14.68,3.4,15.16,18.37,18.4,14.08,13.29,14.7,14.86,12.52,10.94,12.62,12.18,6.49,-15.22,3.69,5.09
 廣明,s6188,6188 廣明,5.2,5.7,5.05,3.78,3.72,3.76,3.15,6.8,7.09,6.86,6.97,6.29,6.35,6.84,7.7,3.26,2.45,2.71
 豐藝,s6189,6189 豐藝,2.29,2.5,3.02,3.38,3.55,2.89,3.4,3.12,3.27,3.42,3.94,2.91,3.2,3.36,3.12,2.36,2.44,2.41
 萬泰科,s6190,6190 萬泰科,3.85,3.27,1.43,-1.46,0.51,0.43,1.04,-0.93,-0.18,0.3,0.29,-2.33,-1.57,-0.49,-0.87,-3.35,-1.09,-1.33
 精成科,s6191,6191 精成科,1.92,1.21,1.13,-1.45,-0.73,-1.32,-3.91,0.47,0.51,0.13,-0.23,-1.16,-0.23,-0.53,-0.4,0.09,0.18,0.55
 巨路,s6192,6192 巨路,10.28,10.26,9.27,10.82,9.2,8.53,7.32,10.72,10.37,10.25,12.79,10.24,10.64,10.91,11.44,9.97,9.82,9.55
 育富,s6194,6194 育富,-38.83,-22.36,-18.85,-17.58,-23.85,-29.69,-15.97,16.27,13.53,12.58,10.5,11.12,11.9,11.3,11.67,14.6,13.7,16.94
 詩肯,s6195,6195 詩肯,9.1,9.12,10.31,12.03,11.78,13.09,13.99,15.73,15.8,15.39,15.83,17.05,16.63,15.61,16.41,14.86,14.66,13.82
 帆宣,s6196,6196 帆宣,2.44,2.41,3.28,2.55,2.22,1.12,0.41,2.57,2.36,2.32,3.58,1.56,0.76,0.37,0.55,2.14,1.45,1.84
 佳必琪,s6197,6197 佳必琪,7.34,6.06,3.93,5.11,5.8,3.97,5.16,6.71,6.09,6.08,8,3.79,4.15,3.29,3.23,1.55,0.82,0.52
 凌泰,s6198,6198 凌泰,24.59,85.34,-112.22,-40.01,-29.96,-32.22,-39.61,-38.59,-31.79,-36.16,-44.19,-31.24,-25.9,-22.99,-29.03,-35.29,-25.27,-22.03
 天品,s6199,6199 天品,8.76,9.14,16.18,33.56,5.86,19.05,28.43,41.73,10.44,-37.93,-236.12,-318.63,-295.21,-365.8,-453.05,397.01,417.62,382.56
 亞弘電,s6201,6201 亞弘電,8.19,8.38,5.27,6.37,7.17,5.8,5.61,4.36,4.04,3.35,1.72,2.82,2.24,2.89,3.03,4.05,4.63,4.44
 盛群,s6202,6202 盛群,18.95,18.65,18.62,20.62,20.86,20.05,18.41,20.32,20.09,19.57,18.75,19.2,19.46,19.1,16.93,15.78,16.43,15.86
 海韻電,s6203,6203 海韻電,11.23,11.64,11.23,11.28,11.48,5.98,6.68,13.61,14.32,14.86,15.47,11.57,11.57,11.24,10.65,10.27,10.59,10.28
 艾華,s6204,6204 艾華,7.96,7.94,-0.39,6.64,8.04,6.13,2.63,10.12,8.99,6.15,7.47,12.49,12.01,13.68,10.63,10.51,11.04,8.81
 詮欣,s6205,6205 詮欣,12.63,7.88,6.74,9.03,10.53,7.61,8.06,10.23,10.62,8.95,11.07,6.03,6.61,6.91,7.08,4.59,5.38,4.57
 飛捷,s6206,6206 飛捷,15.09,16.72,16.22,20,19.91,17.87,17.82,20.32,19.88,18.13,19.72,21.36,21.68,22.69,23.85,17.06,16.46,15.77
 雷科,s6207,6207 雷科,6.95,7.28,6.19,11.07,13.64,10.37,10.17,8.76,7.96,6.01,6.32,0.49,3.41,2.29,9.47,4.18,5.67,6.02
 日揚,s6208,6208 日揚,10.54,10.15,11.91,6.31,8.14,8.27,12.4,8.36,8.72,7.18,10.83,7.21,6.84,4.13,0.41,4.62,3.44,1.55
 今國光,s6209,6209 今國光,-1.17,-3.98,-1.3,-4.56,-2.75,-1.87,-3.41,-3.25,-1.49,-2.54,-4.26,1.49,1.35,1.4,0.75,6.09,7.01,5.43
 慶生,s6210,6210 慶生,12.35,14.68,14.12,19.19,19.81,18.33,22.59,19.44,17.32,15.44,17.37,15.04,15.05,16.79,17.43,15.13,15.88,16.55
 理銘,s6212,6212 理銘,14.22,12.27,17.36,11.91,8.71,10.64,,"-2,336.13","-1,577.56",-643.62,,"-14,366.54","-11,727.04","-10,749.03",-556.23,27.14,23.37,31.45
 聯茂,s6213,6213 聯茂,5,4.98,5.61,3.15,2.66,2.14,2.63,2.63,2.53,2.82,2.95,4.14,4.28,3.9,5.35,5.61,6.08,5.47
 精誠,s6214,6214 精誠,7.83,3.32,2.46,3.45,2.34,4.33,4.09,4.73,3.67,4.93,5.04,5.26,4.85,4.42,3.95,1.68,1.28,0.64
 和椿,s6215,6215 和椿,1.17,4.44,3.22,1.49,1.08,0.1,1.91,6.41,6.82,5.21,2.42,1.9,2.48,2.8,-0.26,0.02,0.23,-0.77
 居易,s6216,6216 居易,21.58,21.45,17.67,21.16,21.47,18.37,11.7,17.99,17.06,18.74,17.77,18.11,16.18,15.96,16.04,13.94,14.32,13.29
 中探針,s6217,6217 中探針,6.18,5,1.67,12.4,12.25,9.19,10.15,11.59,10.57,7.27,5.25,9.14,9.14,9.39,7.32,5.32,4.5,4.47
 豪勉,s6218,6218 豪勉,5.7,7.81,6.99,6.65,7.69,3.11,5.52,7.73,8.95,6.39,4.99,7.39,9.03,9.41,13.43,5.88,10.04,10.15
 富旺,s6219,6219 富旺,-9.38,-113.27,-91.33,1.89,-13.04,-19.19,0.47,22.41,24.16,33.16,43.04,19.69,19.8,22.55,29.17,11.28,9.58,7.23
 岳豐,s6220,6220 岳豐,6.53,3.92,2.32,1.05,3.33,1.08,-0.96,2.44,2.23,0.71,-0.56,0.16,0.3,-0.42,-1.31,0.06,-0.05,-1.36
 晉泰,s6221,6221 晉泰,2.78,3.27,3.05,3.64,3.84,3.56,2.81,2.59,2.1,2.22,2.03,3.35,3.53,4.2,2.67,3.52,3.59,4.28
 上揚,s6222,6222 上揚,-135.43,-56.39,-21.54,-152.3,-106.74,-61.67,-64.92,-21.11,-19.78,-12.73,-11.11,-27.4,-14.67,-12.09,-12.2,11.36,20.28,33.64
 旺矽,s6223,6223 旺矽,11.15,9.13,5.9,7.33,9.16,9.03,10.27,12.45,13.57,10.03,7.51,8.92,10.81,9.96,10.89,9.62,8.47,9.04
 聚鼎,s6224,6224 聚鼎,24.73,25.39,22.52,27.87,28.86,28.15,26.04,24.94,24.61,25.06,23.54,25.22,24.63,25.13,21.89,22.95,22.39,20.93
 天瀚,s6225,6225 天瀚,-91.86,-89.08,-61.09,-72.36,-64.11,-68.49,-25.76,-99.89,-72.22,-89.45,-127.74,-63.75,-55.85,-40.77,-39.09,-49.88,-36.09,-50.8
 光鼎,s6226,6226 光鼎,1.54,0.1,-7.33,-6.33,-5.65,-8.67,-7.19,2.65,3.1,2.47,-4.69,3.99,2.16,2.07,-1.98,-14.79,-13.23,-13.94
 茂綸,s6227,6227 茂綸,1.88,2.79,3.5,2.49,2.57,2.61,2.89,2.49,2.29,2.44,1.88,1.34,0.77,0.25,-1.01,2.17,2.75,3.52
 全譜,s6228,6228 全譜,-30.75,-36.2,-15.26,-39.46,-29.98,-64.35,-47.97,-38.23,-81.91,-98.01,-93.58,1.55,18.81,44.69,-25.6,-79.85,-124.82,-130.36
 研通,s6229,6229 研通,2.08,1.13,0.14,0.17,0.49,-1.02,-2.24,3.18,3,2.44,2.72,3.69,3.69,4.4,0.32,1.3,1.21,-0.53
 超眾,s6230,6230 超眾,12.32,14.07,12.51,11.1,10.61,8.49,9.99,9.6,9.97,9.66,8.43,8.9,8.95,9.1,10.12,7.74,7.63,6.69
 系微,s6231,6231 系微,-10.29,-10.67,-9.77,5.16,5.35,6.8,1.86,2.42,0.7,-1.37,-9.83,2.93,0.64,0.11,-26.84,11.19,13.51,14.3
 旺玖,s6233,6233 旺玖,-17.38,-18.83,-27.32,-16.67,-14.94,-26.14,-29.1,-29,-9.9,0.24,-44.9,-23.11,-15.98,-11.63,-19.57,-22.46,-7.79,-11.39
 高僑,s6234,6234 高僑,-0.7,-0.28,3.58,25.82,14.05,17.12,5.57,7.96,6.58,5.11,5.95,-25.01,-20.92,-13.52,-3.12,-33.71,-9.79,0.39
 華孚,s6235,6235 華孚,6.31,6.75,7.45,2.7,-0.67,0.74,-3.19,-14.38,-19.42,-17.8,-11.6,-4.11,-7.18,-0.75,3.56,-9.7,-7.85,-5.02
 康呈,s6236,6236 康呈,-23.05,-16.37,-17.67,-23.98,-32.1,-29.28,-26.36,4.92,10.92,27.11,28.11,-30.02,-226.28,-195.76,-116.23,-223.01,-266.97,-213.48
 驊訊,s6237,6237 驊訊,19.99,6.76,-3.7,26.28,40.55,-8.2,-3.65,22.31,26.66,37.88,77.21,0.84,-0.02,3.56,-6.61,-26.89,-11.57,-5.42
 勝麗,s6238,6238 勝麗,16.44,17.82,18.53,15.14,13.27,10.21,12.06,2.69,2.17,2.55,2.38,7.43,7.7,8.05,3.33,1.1,0.61,-0.19
 力成,s6239,6239 力成,12.27,11.96,11.46,11.85,11.73,11.26,10.91,11.06,11.14,10.56,9.4,-8.52,8.11,8.93,8.26,10.09,11.12,13.11
 松崗,s6240,6240 松崗,12.68,-16.31,-36.85,16.21,28.46,16.97,31.31,5.44,3.04,0.14,-15.8,35.88,1.04,-4.97,2.86,4.28,7.97,4.14
 易通展,s6241,6241 易通展,-14.67,-1.9,3.51,-15.89,-18.42,-35.2,-49.76,7.21,7.61,6.83,8.33,3.49,3.68,4.12,5.52,5.06,5.55,6.3
 立康,s6242,6242 立康,11.97,13.05,10.53,11.6,10.7,11.69,8.16,-10.23,-1.71,-12.82,-20.24,-26.08,-29.26,-34.66,-20.31,-14.38,-11.14,-13.35
 迅杰,s6243,6243 迅杰,-24.24,-24.09,-20.01,-26.93,-29.63,-48.19,-43.44,-12.53,-13.56,-14.89,-4.94,-9.98,-7.89,-7.71,-5.73,-14.33,-9.18,-8.34
 茂迪,s6244,6244 茂迪,0.52,6.14,8.58,-2.54,-6.05,-11.12,-11.65,-5.29,-3.7,1.6,2.57,1.13,-0.98,-6.2,-17.62,-34.01,-34.62,-38.63
 立端,s6245,6245 立端,5.99,5.2,4.84,6.05,5.72,3.86,5.43,6.88,5.55,5.07,7.23,7.62,7.58,7.87,8.26,7.6,7.96,7.68
 臺龍,s6246,6246 臺龍,5.58,6.4,8.64,-5.63,-7.24,-13.28,-34.38,-55.21,-45.02,-34.62,-30.82,-15,-12.98,-12.68,-10.81,-10.83,-4.91,-3.89
 淇譽電,s6247,6247 淇譽電,-0.25,-0.84,-2.5,6.87,8.65,5.03,4.77,2.86,-0.11,-1.77,-8.59,-6.25,-2.04,-5.1,-0.48,-0.71,-6.55,-8.97
 沛波,s6248,6248 沛波,2.04,3.88,3.82,3.89,3.35,1.98,1.51,2.36,2.07,4.82,-11.62,-28.4,-45.48,-39.2,-59.33,-60.11,-66.87,-43.43
 定穎,s6251,6251 定穎,-0.35,0.22,0.2,-0.83,-1.15,-2.82,-2.35,2.22,2.86,2.57,1.4,-2.55,-2.02,-2.4,-3.64,-6.49,-4.16,-6.93
 矽格,s6257,6257 矽格,13.71,12.06,9.94,14.86,15.39,15.01,13.17,19.54,20.51,20.37,19.15,16.01,16.54,15.29,12.05,19.54,19.03,18.1
 百徽,s6259,6259 百徽,-129.92,-172.66,-321.29,-12.12,-11.16,-11.8,-8.18,-3.86,-4.58,-3.3,-3.74,-3.57,-4.09,-2.76,-6.04,-6.03,-4.01,-5.43
 久元,s6261,6261 久元,11.24,12.53,13.94,11.58,11.94,12.99,12.63,17.72,17.5,16.51,12.27,12.37,13.32,13.66,11.55,15.53,16.73,17.03
 普萊德,s6263,6263 普萊德,21.29,22.18,21.19,21.02,20.82,20.27,20.6,19.12,18.36,18.55,17.72,17.81,17.4,17.88,16.66,15.24,14.74,14.96
 富裔,s6264,6264 富裔,-100.64,-942.86,"-1,080.02",-46.64,-428.71,-432.37,-368.81,-131.27,-90.15,-58.52,-50.41,9.76,-20.12,-123.38,-137.44,5.54,-7.19,-7.76
 方土昶,s6265,6265 方土昶,-0.05,0.1,-0.43,0.65,0.74,0.01,0.18,0.56,0.46,0.45,0.49,0.46,0.52,0.63,0.67,-0.12,0.01,-0.7
 泰詠,s6266,6266 泰詠,1.86,2.52,4.11,7.32,5.69,6.72,6.6,4.36,3.85,3.96,4.34,2.92,0.89,0.06,-2.68,1.49,1.53,1.81
 台郡,s6269,6269 台郡,9.66,7.29,11.25,15.24,15.4,13.03,17.66,11.37,7.32,4.52,7.36,14.17,13.45,12.85,16.26,15.53,15.64,14.7
 倍微,s6270,6270 倍微,1.07,1.05,1.05,1.07,0.96,0.68,0.95,1.93,2.13,2.1,2.37,0.61,0.59,0.32,0.16,-13.47,-14.77,-22.52
 同欣電,s6271,6271 同欣電,11.86,12.32,11.78,13.4,13.46,10.53,11.61,18.12,18.32,16.69,16.79,19.97,19.78,17.84,18.41,18.77,15.1,11.36
 台燿,s6274,6274 台燿,6.49,7,7.08,5.82,5.89,5.64,5.4,5.58,5.34,5.05,4.35,5.13,5.05,4.85,4.54,4.01,4.26,4.35
 元山,s6275,6275 元山,2.85,3.11,1.99,0.52,1.15,0.94,0.23,1.27,1.48,1.67,-1.17,0.5,0.2,1.24,1.45,0.44,0.04,0.27
 安鈦克,s6276,6276 安鈦克,-9.17,-11.3,-8.01,-9.33,-6.37,-5.26,-2.77,2.63,2.67,3.08,4.29,2.9,3.35,5.46,8,12.51,13.28,19.77
 宏正,s6277,6277 宏正,16.42,16,17.87,14.72,14.92,14.35,16.82,15.86,16.09,15.64,15.32,16.54,16.43,16.28,15.47,11.39,11.02,12.88
 台表科,s6278,6278 台表科,1.89,1.77,2.97,2.88,3.02,3.12,3.58,3.6,3.33,2.9,1.68,3.97,3.74,3.58,3.96,3.04,2.9,2.87
 胡連,s6279,6279 胡連,20.15,19.08,18.94,23.59,24.35,23.41,21.9,24.05,22.63,23.09,26.32,21.99,20.57,22.46,24.93,17.28,15.44,16.21
 全國電,s6281,6281 全國電,3.25,3.67,4.32,2.63,2.83,3.19,3.7,2.68,2.86,3.19,3.69,2.82,2.98,3.63,4.11,3.59,3.74,4.26
 康舒,s6282,6282 康舒,2.79,3.08,3.14,3.22,3.28,2.12,2.21,4.58,4.63,4.42,3.71,5.06,4.95,5.41,5.42,4.32,4.39,3.91
 淳安,s6283,6283 淳安,7.44,4.29,5.4,1.58,1.61,4.6,6.48,-39.29,-38.48,-23.87,-20.8,-9.08,-3.9,1.29,1.9,-9.33,-5.79,-7.69
 佳邦,s6284,6284 佳邦,1.22,-3.3,-7.44,2.92,4.52,3.85,14.16,3.08,2.84,3.3,1.55,1.73,1.36,1.33,2.7,-5.24,0.34,0.16
 啟碁,s6285,6285 啟碁,3.86,3.49,3.9,3.78,3.87,3.56,4.01,3.41,3.37,3.39,3,4.14,4.43,3.94,3.47,3.28,3.44,3.36
 元隆,s6287,6287 元隆,-21.43,-26.66,-31.08,-36.79,-35.43,-38.84,-43.4,-48.78,-60.65,-74.7,-125.28,-48.75,-43.84,-52.24,-74.9,-46.76,-37.11,-40.92
 華上,s6289,6289 華上,-92.07,-72.38,-55.62,-213.32,-190.33,-185.03,-191.42,-209.44,-82.92,-52.16,-83.54,-151.42,-104.91,-114.88,-154.7,-37.74,-33.79,-45.9
 良維,s6290,6290 良維,5.2,5.05,7.22,4.02,2.2,0.26,1.57,5.03,3.47,3.2,5.34,4.07,2.76,3.02,3.94,3.37,3.73,3.22
 沛亨,s6291,6291 沛亨,-4.45,-7.03,-16.83,-15.86,-14.8,-12.2,-19.43,-12.46,-9.75,-12.21,-14.74,-18.75,-17.61,-17.07,-17.79,-19.29,-19.57,-22.62
 迅德,s6292,6292 迅德,9.98,8.53,7.66,6.92,8.05,9.22,8.42,11.12,7.9,8.56,6.32,9.11,9.55,9.25,11.7,8.8,8.66,8.61
 智基,s6294,6294 智基,32.36,34.87,32.3,18.15,18.01,21.08,14.65,1.24,2.26,3.26,2.56,3.07,2.08,7.77,9.49,33.25,41.87,54.36
 崴強,s6298,6298 崴強,7.04,4.24,3.97,2.97,5.27,3.85,3.74,6.69,6,4.99,6.26,5.83,4.29,3.54,6.44,4.69,5.39,3.9
 通訊-KY,s6404,6404 通訊-KY,-22.36,-20.74,-17.22,6.62,11.65,12.38,11.22,13.55,14.89,12.59,7.55,27.35,20.71,23.41,20.34,21.94,,
 悅城,s6405,6405 悅城,-6.86,-7.94,-10.52,0.83,5.67,3.53,4.71,19.15,20,18.79,16.69,18.79,19.54,17.98,21.65,21.73,,20.95
 旭隼,s6409,6409 旭隼,17.23,17.88,16.36,17.62,17.65,15.83,15.11,14.81,14.42,13.89,13.61,11.12,10.91,11.36,12.09,10.92,,10.87
 晶焱,s6411,6411 晶焱,9.25,9.52,7.92,9.07,7.26,3.81,4.63,9.26,9.19,5.88,1.69,11.24,10.85,9.7,5.06,11.25,,13.7
 群電,s6412,6412 群電,2.81,3.73,3.17,4.33,3.75,3.51,2.4,4.16,3.98,3.48,2.39,3.2,3.72,2.99,2.06,3.86,,2.87
 樺漢,s6414,6414 樺漢,10.11,10.71,10.79,9.73,9.91,9.04,8.72,11.53,11.78,12.31,11.73,12.01,11.67,12.19,10.54,7.67,,7.89
 矽力-KY,s6415,6415 矽力-KY,19.34,18.65,18.11,25.55,23.7,23.7,22.49,24.47,24.39,24.85,20.33,25.41,24.57,24.58,25.31,28.29,,
 韋僑,s6417,6417 韋僑,8.36,7.46,6.82,8.38,8.02,5.57,3.59,7.04,6.84,6.27,8.02,2.19,,1.26,,5.68,,7.46
 京晨科,s6419,6419 京晨科,-12.33,-19.07,-25.08,0.38,5.92,4.94,0.99,3.18,5.32,2.94,12.52,22.27,25.62,27.56,32.41,16.2,,17.8
 君耀-KY,s6422,6422 君耀-KY,10.66,10.14,8.24,10.87,10.37,10,9.6,10.98,11.07,11.47,10.32,8,7.42,6.52,3.38,11.06,,
 統新,s6426,6426 統新,10.86,12.07,4.83,8.56,17.62,13.21,16.24,15.75,18.03,17.03,25.8,12.85,14.19,16.26,14.35,26.67,,
 光麗-KY,s6431,6431 光麗-KY,-111.98,-114.87,-57.48,-49.85,-27.3,-34.61,-30.33,7.36,10.81,13.59,8.81,12.24,18.21,17.28,,14.26,,
 今展科,s6432,6432 今展科,4.17,4.82,4.26,6.5,6.82,4.21,4,6.44,6.27,4.24,,5.8,,,,4.77,,
 大中,s6435,6435 大中,7.06,7.13,8.39,6.88,5.83,4.8,6.44,7.62,7.96,7.51,,8.54,,10.47,,5.99,,
 光聖,s6442,6442 光聖,6.37,7.31,5.68,7.36,7.31,5.29,6.97,5.94,4.79,3,5.74,3.59,,3.71,,2.88,,2.76
 元晶,s6443,6443 元晶,0.54,5.56,8.92,2.47,0.67,-0.94,2.15,2.76,,6.84,,5.51,,-1.12,,-29.58,,-19.85
 藥華醫,s6446,6446 藥華醫,"-15,784.82","-13,812.33","-32,614.26","-7,362.16","-6,960.69","-6,797.32","-13,468.10","-6,387.44","-4,825.04","-4,078.07",,-820.09,,-273.83,,-899.09,,
 鈺邦,s6449,6449 鈺邦,11.17,11.31,8.43,14.32,14.69,13.15,13.8,13.56,13.04,13.26,14.84,8.89,,6.47,,5.84,,4.14
 訊芯-KY,s6451,6451 訊芯-KY,21.39,25.4,22.16,18.62,17.79,13.82,13.68,17.18,16.7,19.09,17.47,22.87,,,,22.34,,
 康友-KY,s6452,6452 康友-KY,20.53,20.8,22.22,23.36,21.58,20.87,20.67,19.42,20.11,20.15,22.69,18.11,17.15,17.03,,17.83,,
 GIS-KY,s6456,6456 GIS-KY,2.57,0.98,1.8,2.36,1.94,0.46,0.25,1.76,1.51,0.77,0.58,2.87,3.45,,,1.09,,
 紘康,s6457,6457 紘康,8.93,8.84,8.21,11.81,13.26,11.36,9.51,9.17,9.7,7.8,5.27,7.95,,,,9.66,,
 神盾,s6462,6462 神盾,-8.32,-24.26,-52.46,-16.76,-7.09,-61.32,-59.12,-506.14,-524.07,-539.71,-394.96,-86.37,,,,-146.14,,
 台數科,s6464,6464 台數科,26.61,27.34,27.05,28.3,31.19,31.82,33.65,30.58,32.74,32.05,,26.1,,,,28.19,,
 威潤,s6465,6465 威潤,20.32,23.61,21.84,23.31,21.54,19.47,20.44,20.9,18.73,18.19,,21.8,,23.26,,12.74,,
 大樹,s6469,6469 大樹,3.28,3.05,3.18,3.59,2.71,2.29,1.37,5.77,,5.43,,5.99,,5.34,,3.71,,
 宇智,s6470,6470 宇智,6.77,7.2,6.14,8.67,9.19,6.62,8.44,8.49,7.35,6.99,5.92,5.3,,,,-0.52,,
 安集,s6477,6477 安集,-9.36,1.52,2.37,6.57,7.66,6.52,7.54,9.66,,6.26,,8.82,,6.1,,-5.67,,
 弘煜科,s6482,6482 弘煜科,5.83,7.68,8.96,16.34,23.94,22.84,16.82,24.53,,42.04,,42.72,,,,16.9,,
 點序,s6485,6485 點序,14.79,14.52,14.06,9.68,9.47,7.38,5.22,8.47,,8.93,,8.95,,5.55,,1.88,,
 互動,s6486,6486 互動,6.77,6.69,5.45,7,4.62,5.44,7.77,9.37,,7.4,,10.27,,6.41,,11.11,,
 環球晶,s6488,6488 環球晶,9.39,9.8,7.88,13.35,13.41,12.3,11.76,13.16,12.95,12.58,14.69,12.69,,,,6.98,,
 九齊,s6494,6494 九齊,9.91,10.96,6.55,7.49,7.74,5.13,-2.93,8.51,,9.63,,8.67,,9.63,,7.45,,
 科懋,s6496,6496 科懋,11.2,7.94,6.7,11.58,11.47,11.46,11.82,13.42,,12.73,,15.16,,19.17,,18.79,,
 益安,s6499,6499 益安,,,,,,,,,,,,,,,,,,
 南六,s6504,6504 南六,8.98,8.58,8.12,9.82,9.97,10.32,10.12,7.86,7.85,7.92,7.7,8.25,8.08,6.49,6.49,5.32,5.08,5.3
 台塑化,s6505,6505 台塑化,13.45,13.67,8.39,7.51,7.26,7.61,0.72,0.99,3.07,3.16,3.33,2.88,2.94,2.27,3.87,0.3,0.12,-2.02
 雙邦,s6506,6506 雙邦,10.87,12.78,15.85,5.74,6.14,7.84,7.87,3.65,4.55,6.01,5.7,2.61,3.1,3.91,3.19,1.38,2.63,4.34
 惠光,s6508,6508 惠光,7.29,8.13,9.48,7.09,8,7.69,6.86,8.88,9.44,9.52,10.49,7.12,7.38,7.62,7.17,6.72,7.68,8.67
 聚和,s6509,6509 聚和,2.86,4.51,4.82,5.1,5.52,5.02,5.89,2.13,1.84,1.63,0.63,3.57,4.73,4.18,4.16,2.47,2.84,2.61
 精測,s6510,6510 精測,24.31,22.85,22.13,23.97,24.08,21.21,21.23,18.44,,12.7,,7.93,,7.03,,7.14,,
 啟發電,s6512,6512 啟發電,12.09,13.48,13.3,13.59,12.55,9.42,,18.79,,17.05,,14.96,,13.28,,18.51,,
 芮特-KY,s6514,6514 芮特-KY,6.31,5.03,0.82,12.67,14.37,10.92,13.09,-20.06,-57.8,,,9.24,,,,12.31,,
 達爾膚,s6523,6523 達爾膚,26.73,27.77,28.62,26.4,23.63,17.12,25.78,36.1,,,,26.57,,,,31.08,,
 捷敏-KY,s6525,6525 捷敏-KY,17.66,18.59,18.81,19.92,18.17,16.45,15.73,16.93,18.82,18.04,,9.58,,,,,,
 愛普,s6531,6531 愛普,10.19,14.73,17.64,17.89,17,11.35,,25.34,,,,21.72,,,,15.67,,
 瑞耘,s6532,6532 瑞耘,8.47,6.73,8.71,17.36,19.28,16.81,,12.27,,,,2.14,,,,-4.67,,
 順藥,s6535,6535 順藥,"-1,399.32",-790.97,,"-2,472.65",,,,,,,,,,,,"8,456.88",,
